# hist,2 days,6 days,11 days,16 days,21 days,26 days,31 days,36 days,41 days,1 years,2 years
  3.2,  5.0, 31.0, 31.0, 38.0, 46.0, 30.0, 26.0, 17.0, 21.0,  2.0,  0.0
  3.4,  6.0, 19.0, 29.0, 40.0, 39.0, 32.0, 29.0, 25.0, 26.0,  6.0,  0.0
  3.6,  6.0, 15.0, 33.0, 35.0, 26.0, 32.0, 44.0, 25.0, 18.0,  7.0,  1.0
  3.8,  5.0, 15.0, 22.0, 36.0, 45.0, 29.0, 25.0, 41.0, 22.0,  6.0,  0.0
  4.0,  7.0,  8.0, 24.0, 23.0, 44.0, 43.0, 32.0, 27.0, 13.0,  8.0,  0.0
  4.2,  3.0,  8.0, 20.0, 30.0, 34.0, 41.0, 30.0, 25.0, 17.0,  5.0,  0.0
  4.4,  4.0,  7.0, 20.0, 24.0, 34.0, 33.0, 32.0, 22.0, 23.0, 13.0,  0.0
  4.6,  4.0,  6.0, 14.0, 28.0, 33.0, 37.0, 32.0, 34.0, 24.0,  6.0,  0.0
  4.8,  1.0,  3.0, 20.0, 26.0, 28.0, 33.0, 30.0, 18.0, 29.0,  6.0,  0.0
  5.0,  1.0,  7.0, 10.0,  8.0, 19.0, 33.0, 31.0, 40.0, 25.0,  7.0,  0.0
  5.2,  0.0,  4.0, 14.0, 14.0, 20.0, 27.0, 27.0, 30.0, 34.0,  6.0,  1.0
  5.4,  0.0,  4.0,  9.0, 16.0, 14.0, 27.0, 35.0, 17.0, 27.0, 10.0,  0.0
  5.6,  1.0,  0.0,  9.0, 12.0, 17.0, 23.0, 28.0, 29.0, 18.0,  5.0,  1.0
  5.8,  1.0,  4.0,  5.0, 10.0, 17.0, 26.0, 28.0, 22.0, 23.0,  6.0,  1.0
  6.0,  0.0,  0.0,  5.0, 13.0,  9.0, 15.0, 18.0, 27.0, 22.0,  7.0,  1.0
  6.2,  1.0,  3.0,  3.0, 10.0, 10.0, 13.0, 15.0, 25.0, 13.0,  9.0,  0.0
  6.4,  0.0,  5.0,  1.0,  6.0,  8.0, 15.0, 20.0, 25.0, 26.0,  9.0,  1.0
  6.6,  0.0,  2.0,  4.0,  2.0,  6.0, 10.0, 17.0, 22.0, 25.0,  7.0,  0.0
  6.8,  0.0,  2.0,  2.0,  2.0,  6.0,  8.0, 12.0, 25.0, 18.0, 10.0,  0.0
  7.0,  0.0,  0.0,  3.0,  2.0,  8.0,  8.0, 15.0, 26.0, 21.0,  7.0,  1.0
  7.2,  0.0,  0.0,  1.0,  3.0,  3.0, 10.0, 17.0, 24.0, 21.0, 10.0,  2.0
  7.4,  0.0,  1.0,  2.0,  2.0,  5.0, 11.0, 12.0, 17.0, 24.0,  3.0,  0.0
  7.6,  0.0,  1.0,  1.0,  2.0,  4.0,  4.0,  9.0,  9.0, 22.0,  9.0,  2.0
  7.8,  0.0,  2.0,  1.0,  2.0,  4.0,  2.0, 10.0, 10.0, 17.0,  9.0,  2.0
  8.0,  0.0,  0.0,  2.0,  7.0,  3.0,  4.0, 10.0, 13.0, 18.0,  9.0,  1.0
  8.2,  0.0,  0.0,  0.0,  2.0,  5.0,  3.0, 12.0, 11.0, 17.0,  6.0,  0.0
  8.4,  0.0,  0.0,  1.0,  2.0,  4.0,  2.0,  7.0,  8.0, 14.0,  8.0,  1.0
  8.6,  0.0,  0.0,  1.0,  0.0,  3.0,  5.0,  3.0,  8.0,  9.0, 10.0,  2.0
  8.8,  0.0,  1.0,  0.0,  2.0,  3.0,  2.0,  4.0,  6.0, 12.0,  7.0,  2.0
  9.0,  0.0,  0.0,  1.0,  0.0,  3.0,  4.0,  5.0,  6.0,  9.0,  8.0,  1.0
  9.2,  0.0,  0.0,  0.0,  0.0,  2.0,  6.0,  3.0,  5.0,  9.0,  9.0,  0.0
  9.4,  0.0,  0.0,  0.0,  0.0,  1.0,  1.0,  6.0,  5.0,  6.0,  7.0,  0.0
  9.6,  0.0,  0.0,  0.0,  1.0,  1.0,  0.0,  2.0,  4.0, 10.0,  5.0,  0.0
  9.8,  0.0,  0.0,  0.0,  0.0,  2.0,  0.0,  3.0,  5.0,  3.0,  6.0,  2.0
 10.0,  0.0,  0.0,  0.0,  1.0,  1.0,  3.0,  4.0,  4.0,  6.0,  6.0,  0.0
 10.2,  0.0,  0.0,  0.0,  2.0,  0.0,  2.0,  1.0,  3.0,  5.0,  1.0,  0.0
 10.4,  0.0,  0.0,  0.0,  1.0,  0.0,  2.0,  1.0,  0.0,  2.0,  1.0,  1.0
 10.6,  0.0,  0.0,  1.0,  0.0,  2.0,  2.0,  2.0,  2.0,  7.0,  2.0,  1.0
 10.8,  0.0,  0.0,  0.0,  0.0,  0.0,  2.0,  0.0,  2.0,  0.0,  5.0,  0.0
 11.0,  0.0,  0.0,  0.0,  0.0,  2.0,  1.0,  1.0,  2.0,  4.0,  7.0,  0.0
 11.2,  0.0,  1.0,  0.0,  0.0,  3.0,  0.0,  2.0,  4.0,  1.0,  8.0,  0.0
 11.4,  0.0,  0.0,  0.0,  0.0,  2.0,  1.0,  2.0,  0.0,  5.0,  6.0,  0.0
 11.6,  0.0,  0.0,  0.0,  0.0,  1.0,  2.0,  2.0,  1.0,  3.0,  4.0,  0.0
 11.8,  0.0,  0.0,  0.0,  1.0,  0.0,  0.0,  2.0,  1.0,  1.0,  1.0,  0.0
 12.0,  0.0,  0.0,  1.0,  1.0,  1.0,  0.0,  0.0,  0.0,  2.0,  4.0,  0.0
 12.2,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  0.0,  2.0,  2.0,  5.0,  0.0
 12.4,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  1.0,  1.0,  0.0,  2.0,  1.0
 12.6,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  0.0,  3.0,  0.0,  4.0,  0.0
 12.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  0.0,  1.0,  6.0,  1.0
 13.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  0.0,  0.0,  1.0,  8.0,  1.0
 13.2,  0.0,  0.0,  0.0,  0.0,  1.0,  0.0,  1.0,  2.0,  0.0,  4.0,  3.0
 13.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  0.0,  4.0,  1.0
 13.6,  0.0,  0.0,  0.0,  1.0,  0.0,  0.0,  1.0,  0.0,  0.0, 10.0,  1.0
 13.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  7.0,  2.0
 14.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0, 14.0,  2.0
 14.2,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  0.0,  0.0,  0.0,  7.0,  1.0
 14.4,  0.0,  0.0,  0.0,  1.0,  0.0,  1.0,  0.0,  0.0,  1.0,  7.0,  4.0
 14.6,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  0.0,  0.0,  0.0,  8.0,  5.0
 14.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  6.0,  4.0
 15.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.0,  0.0,  0.0,  5.0,  3.0
 15.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 10.0,  3.0
 15.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.0,  7.0
 15.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  8.0,  3.0
 15.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 10.0,  2.0
 16.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.0,  4.0
 16.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.0,  2.0
 16.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.0,  3.0
 16.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.0,  0.0
 16.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  9.0,  2.0
 17.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  8.0,  3.0
 17.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 10.0,  3.0
 17.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 12.0,  2.0
 17.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  9.0,  2.0
 17.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  9.0,  1.0
 18.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  9.0,  0.0
 18.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 10.0,  2.0
 18.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 14.0,  2.0
 18.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 21.0,  1.0
 18.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 13.0,  1.0
 19.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 13.0,  1.0
 19.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.0,  1.0
 19.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  9.0,  2.0
 19.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 10.0,  0.0
 19.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.0,  2.0
 20.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 11.0,  0.0
 20.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.0,  3.0
 20.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 12.0,  3.0
 20.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.0,  3.0
 20.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.0,  2.0
 21.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.0,  3.0
 21.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.0,  2.0
 21.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  9.0,  3.0
 21.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 16.0,  5.0
 21.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.0,  3.0
 22.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.0,  5.0
 22.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.0,  4.0
 22.4,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.0,  3.0
 22.6,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 11.0,  7.0
 22.8,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 12.0, 10.0
 23.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0, 12.0,  5.0
 23.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.0,  7.0
